data_split_version,model,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
0,resnext,978.1517543859649,1483.9874551971327,951.0439068100359,12.250735646865587,45.69892473118279,38.88888888888889,31.72043010752688,25.985663082437277,20.43010752688172
1,resnext,1000.9831349206349,1468.6270833333333,960.8552083333333,13.977865462221347,45.625,39.791666666666664,34.583333333333336,28.333333333333332,23.541666666666668
2,resnext,982.285294117647,1442.4410569105692,942.1819105691056,13.619198491021804,48.78048780487805,43.08943089430895,36.78861788617886,30.691056910569102,24.390243902439025
3,resnext,1038.8814102564102,1636.3008658008657,1029.5422077922078,13.50651045388562,48.268398268398265,41.55844155844156,35.28138528138528,30.303030303030305,24.458874458874458
4,resnext,1008.847389558233,1489.283950617284,963.5288065843621,11.726500466998946,47.53086419753087,41.56378600823045,34.5679012345679,29.01234567901235,21.193415637860085
5,resnext,1018.0649224806201,1518.058232931727,979.7379518072289,11.136251035464555,45.58232931726908,38.55421686746988,32.1285140562249,26.305220883534137,19.879518072289155
6,resnext,964.3983739837398,1524.0375,969.4375,14.045551310639379,48.541666666666664,41.66666666666667,34.166666666666664,29.583333333333332,23.333333333333332
7,resnext,906.578947368421,1406.5770609318997,909.6702508960574,11.818436960223073,47.8494623655914,40.32258064516129,33.51254480286738,27.24014336917563,21.32616487455197
8,resnext,901.218992248062,1353.0240963855422,894.2309236947791,13.83342780948214,47.99196787148594,41.76706827309237,35.9437751004016,29.71887550200803,22.289156626506024
9,resnext,1019.0925,1528.578125,986.4071180555555,10.942712824444552,44.44444444444444,38.19444444444444,30.729166666666668,25.17361111111111,19.09722222222222
10,resnext,937.1535087719299,1400.2275985663082,909.1639784946236,11.092382252222723,46.95340501792115,40.32258064516129,31.899641577060933,26.16487455197133,19.53405017921147
