version,model,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
v0,Mini-Replica,524.8875,683.1315789473684,538.9078947368421,43.61812830843104,71.05263157894737,71.05263157894737,60.526315789473685,57.89473684210527,55.26315789473685
v1,Mini-Replica,505.5,611.0,505.5,26.800861878744183,78.43137254901961,66.66666666666666,58.82352941176471,50.98039215686274,43.13725490196079
v2,Mini-Replica,513.77,631.5714285714286,521.8469387755102,19.371331230791426,69.38775510204081,55.10204081632652,44.89795918367347,36.734693877551024,32.6530612244898
v3,Mini-Replica,508.60526315789474,536.5370370370371,498.287037037037,18.365809698958905,66.66666666666666,53.70370370370371,42.592592592592595,37.03703703703704,29.629629629629626
v4,Mini-Replica,503.3076923076923,575.12,498.66,20.577164330399516,68.0,56.00000000000001,44.0,38.0,28.000000000000004
v5,Mini-Replica,313.42857142857144,222.625,317.5,28.65519271134677,81.25,68.75,60.416666666666664,54.166666666666664,47.91666666666667
v6,Mini-Replica,441.5,442.6862745098039,434.44117647058823,30.165254244020595,74.50980392156863,60.78431372549019,56.86274509803921,49.01960784313725,41.17647058823529
v7,Mini-Replica,775.15,1131.3157894736842,783.2368421052631,35.44183221061691,65.78947368421053,57.89473684210527,52.63157894736842,52.63157894736842,47.368421052631575
v8,Mini-Replica,464.6530612244898,469.0833333333333,456.75,23.533374454747147,70.83333333333334,58.333333333333336,54.166666666666664,45.83333333333333,41.66666666666667
v9,Mini-Replica,354.0285714285714,308.0571428571429,354.0285714285714,45.511863040595834,82.85714285714286,74.28571428571429,65.71428571428571,62.857142857142854,57.14285714285714
v10,Mini-Replica,497.875,626.2631578947369,510.4736842105263,39.06729605843291,76.31578947368422,76.31578947368422,63.1578947368421,60.526315789473685,50.0
v0,Clus-Replica,535.75,624.3684210526316,511.8157894736842,41.41793198987449,76.31578947368422,71.05263157894737,65.78947368421053,63.1578947368421,60.526315789473685
v1,Clus-Replica,510.79411764705884,621.5882352941177,510.79411764705884,24.609218823358844,70.58823529411765,64.70588235294117,60.78431372549019,54.90196078431373,43.13725490196079
v2,Clus-Replica,542.77,627.5714285714286,521.5,22.527890287929466,67.3469387755102,61.224489795918366,53.06122448979592,46.93877551020408,34.69387755102041
v3,Clus-Replica,602.9912280701755,579.2777777777778,505.3240740740741,21.855012834918046,66.66666666666666,59.25925925925925,51.85185185185185,44.44444444444444,31.48148148148148
v4,Clus-Replica,511.46153846153845,543.28,486.7,21.98604538997736,68.0,64.0,60.0,52.0,38.0
v5,Clus-Replica,427.5612244897959,391.1458333333333,403.4479166666667,29.407208004440676,75.0,64.58333333333334,60.416666666666664,54.166666666666664,45.83333333333333
v6,Clus-Replica,554.8396226415094,560.2549019607843,474.2843137254902,24.974883455829257,74.50980392156863,62.745098039215684,54.90196078431373,47.05882352941176,39.21568627450981
v7,Clus-Replica,796.5625,1018.0263157894736,701.171052631579,34.59415637028896,65.78947368421053,57.89473684210527,57.89473684210527,55.26315789473685,50.0
v8,Clus-Replica,638.0102040816327,697.7708333333334,550.84375,25.518867250169492,70.83333333333334,58.333333333333336,54.166666666666664,47.91666666666667,39.58333333333333
v9,Clus-Replica,416.7857142857143,433.57142857142856,416.7857142857143,36.54901923695311,82.85714285714286,71.42857142857143,65.71428571428571,62.857142857142854,51.42857142857142
v10,Clus-Replica,568.5875,693.5,546.3815789473684,42.25922805773924,76.31578947368422,71.05263157894737,65.78947368421053,60.526315789473685,52.63157894736842
