version,model,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
v0,Mini-Replica,614.0982456140351,736.3870967741935,590.1111111111111,20.110348450862126,67.20430107526882,59.318996415770606,50.53763440860215,44.44444444444444,35.30465949820788
v1,Mini-Replica,579.8511904761905,660.6375,552.1208333333333,24.16056887844027,69.375,62.291666666666664,54.37499999999999,48.333333333333336,39.58333333333333
v2,Mini-Replica,568.45,641.810975609756,543.1087398373984,26.836561318606762,71.7479674796748,65.65040650406505,59.14634146341463,52.84552845528455,43.08943089430895
v3,Mini-Replica,504.7895299145299,619.9199134199134,507.1331168831169,27.35667374988119,74.24242424242425,67.53246753246754,61.68831168831169,54.112554112554115,46.320346320346324
v4,Mini-Replica,531.3232931726908,598.3497942386831,519.0905349794239,26.267753828209443,73.25102880658436,66.2551440329218,58.64197530864198,52.2633744855967,44.03292181069959
v5,Mini-Replica,656.1531007751938,824.7028112449799,634.2871485943775,22.723034804825176,65.46184738955823,57.831325301204814,49.59839357429719,43.17269076305221,35.9437751004016
v6,Mini-Replica,558.2611788617886,679.0520833333334,541.1635416666667,25.163586364258954,70.20833333333333,63.74999999999999,56.458333333333336,50.83333333333333,42.5
v7,Mini-Replica,494.5912280701754,554.2114695340501,478.51433691756273,22.731283605464423,71.32616487455196,64.15770609318996,55.19713261648745,48.74551971326165,39.247311827956985
v8,Mini-Replica,575.3042635658915,726.6064257028113,562.2590361445783,26.29044417866541,69.67871485943775,63.05220883534136,55.42168674698795,49.59839357429719,41.76706827309237
v9,Mini-Replica,638.5725,799.484375,617.9105902777778,19.031072951402226,65.625,58.15972222222222,49.30555555555556,42.53472222222222,35.06944444444444
v10,Mini-Replica,613.2447368421052,734.6433691756272,589.239247311828,21.07718524711039,67.02508960573476,58.78136200716846,51.25448028673835,44.80286738351255,36.02150537634409
v0,Clus-Replica,643.6157894736842,768.4014336917563,592.516129032258,19.924036392854028,66.66666666666666,57.168458781362006,50.0,42.29390681003584,33.33333333333333
v1,Clus-Replica,681.9940476190476,782.0375,609.2375,23.522109073227035,68.33333333333333,59.375,51.87500000000001,45.625,39.58333333333333
v2,Clus-Replica,639.2794117647059,750.900406504065,585.4278455284552,24.035856444872095,70.52845528455285,60.56910569105691,54.67479674796748,48.3739837398374,41.46341463414634
v3,Clus-Replica,576.5181623931624,759.2056277056278,580.1850649350649,26.598220941845717,72.2943722943723,63.41991341991342,57.35930735930735,51.515151515151516,45.23809523809524
v4,Clus-Replica,661.1004016064257,824.59670781893,619.8971193415638,23.951899229105152,69.95884773662551,60.08230452674898,53.29218106995884,46.50205761316872,40.534979423868315
v5,Clus-Replica,708.8788759689922,896.6686746987951,658.1917670682731,22.183582609013587,66.66666666666666,57.028112449799195,50.602409638554214,44.57831325301205,37.34939759036144
v6,Clus-Replica,631.0833333333334,775.45,598.25,27.393129042695513,70.625,63.125,57.49999999999999,52.916666666666664,43.958333333333336
v7,Clus-Replica,558.4912280701755,639.2652329749104,528.6863799283154,21.612235240614318,70.07168458781362,60.752688172043015,54.3010752688172,45.878136200716845,37.27598566308244
v8,Clus-Replica,594.7490310077519,710.3273092369478,565.8483935742972,24.450357916881938,70.28112449799197,60.8433734939759,54.01606425702812,47.791164658634536,40.16064257028113
v9,Clus-Replica,703.68,857.5416666666666,643.953125,20.667332802122694,66.14583333333334,56.770833333333336,51.388888888888886,44.27083333333333,36.45833333333333
v10,Clus-Replica,609.4342105263158,698.568100358423,557.5994623655914,20.314695006311066,68.10035842293907,57.8853046594982,52.1505376344086,44.623655913978496,35.483870967741936
