model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug,0,3,277.7125,179.18421052631578,273.69736842105266,40.63377245493053,84.21052631578947,81.57894736842105,71.05263157894737,63.1578947368421,63.1578947368421
FT Aug,1,4,266.1666666666667,132.33333333333334,266.1666666666667,35.1023779945537,94.11764705882352,80.3921568627451,66.66666666666666,60.78431372549019,49.019607843137244
FT Aug,2,4,320.34,248.81632653061223,320.59183673469386,24.00567512995161,79.59183673469387,69.38775510204081,57.14285714285714,51.02040816326531,44.89795918367347
FT Aug,3,4,443.7894736842105,163.85185185185185,290.037037037037,23.330332878703448,88.88888888888889,83.33333333333334,68.51851851851852,55.55555555555556,46.29629629629629
FT Aug,4,3,306.9326923076923,237.62,303.57,27.68369023702601,90.0,78.0,74.0,66.0,50.0
FT Aug,5,3,247.4387755102041,98.9375,247.23958333333331,29.138946441140924,93.75,83.33333333333334,64.58333333333334,52.083333333333336,43.75
FT Aug,6,3,424.50943396226415,251.45098039215685,326.84313725490193,22.64943985250214,80.3921568627451,70.58823529411765,54.90196078431373,45.09803921568627,41.17647058823529
FT Aug,7,2,518.5875,353.2368421052632,376.64473684210526,38.7493873974322,76.31578947368422,73.68421052631578,71.05263157894737,52.63157894736842,47.36842105263157
FT Aug,8,4,404.68367346938777,202.9375,308.1354166666667,29.115657332797728,89.58333333333334,75.0,66.66666666666666,52.083333333333336,39.58333333333333
FT Aug,9,2,282.7142857142857,165.42857142857142,282.7142857142857,53.92489643876001,91.42857142857143,80.0,71.42857142857143,71.42857142857143,68.57142857142857
FT Aug,10,2,345.225,326.0,342.7105263157895,47.6711464807774,78.94736842105263,78.94736842105263,71.05263157894737,65.78947368421053,65.78947368421053
