model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug,0,3,214.09122807017545,20.60931899641577,208.8637992831541,77.67387617963593,97.84946236559139,96.415770609319,94.9820788530466,93.90681003584228,90.50179211469536
FT Aug,1,4,208.7093253968254,22.63958333333333,201.69479166666667,79.80118519302198,97.70833333333331,96.04166666666669,95.41666666666669,93.95833333333331,91.25
FT Aug,2,4,195.23039215686276,1.2459349593495934,189.4298780487805,89.05169696306692,100.0,99.39024390243902,99.39024390243902,98.78048780487804,97.15447154471543
FT Aug,3,4,199.89529914529916,4.935064935064935,197.3138528138528,91.51705697841132,99.56709956709956,99.56709956709956,99.56709956709956,99.13419913419912,98.05194805194806
FT Aug,4,3,205.02309236947792,9.936213991769549,202.0010288065844,79.19039621682073,98.559670781893,97.94238683127571,96.70781893004116,94.8559670781893,92.38683127572016
FT Aug,5,3,209.3498062015504,26.0140562248996,205.09337349397592,70.75054604482203,97.99196787148594,96.58634538152612,95.58232931726907,92.570281124498,86.34538152610442
FT Aug,6,3,198.46849593495932,6.29375,193.68854166666668,79.61550488744842,100.0,99.375,97.91666666666666,96.25,94.16666666666667
FT Aug,7,2,213.77280701754387,33.77956989247312,210.6030465949821,72.49462923993143,98.02867383512543,96.05734767025088,94.26523297491039,91.0394265232975,84.94623655913979
FT Aug,8,4,195.49127906976744,4.8453815261044175,188.22590361445785,85.42780215175192,99.7991967871486,99.59839357429718,98.99598393574296,98.59437751004016,96.58634538152612
FT Aug,9,2,229.31333333333333,30.52777777777778,208.36805555555557,64.67392868880789,97.39583333333334,95.65972222222221,93.05555555555556,89.23611111111111,83.33333333333334
FT Aug,10,2,246.890350877193,24.93727598566308,212.3163082437276,70.18029756008649,98.02867383512543,95.87813620071684,93.90681003584228,92.29390681003584,86.37992831541219
