model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug Clus-Replica,0,2,320.9375,202.5,301.4078947368421,36.271786219995036,76.31578947368422,76.31578947368422,71.05263157894737,71.05263157894737,57.89473684210527
FT Aug Clus-Replica,1,1,427.30392156862746,454.6078431372549,427.30392156862746,30.33226369901446,80.3921568627451,74.50980392156863,68.62745098039215,64.70588235294117,47.05882352941176
FT Aug Clus-Replica,2,1,439.87,483.2857142857143,447.8469387755102,26.59625931084493,75.51020408163265,69.38775510204081,61.224489795918366,55.10204081632652,44.89795918367347
FT Aug Clus-Replica,3,2,517.6052631578947,424.7592592592592,416.4907407407408,26.84309251708969,81.48148148148148,74.07407407407408,62.96296296296296,53.70370370370371,44.44444444444444
FT Aug Clus-Replica,4,2,430.625,463.34,435.35,26.33727281461654,76.0,70.0,66.0,50.0,38.0
FT Aug Clus-Replica,5,2,313.44897959183675,238.04166666666663,312.5208333333333,39.58984698628469,83.33333333333334,75.0,72.91666666666666,70.83333333333334,62.5
FT Aug Clus-Replica,6,1,509.4150943396226,435.80392156862746,418.5098039215686,32.966807779440934,76.47058823529412,68.62745098039215,62.745098039215684,60.78431372549019,47.05882352941176
FT Aug Clus-Replica,7,2,673.9,818.1052631578947,618.3157894736842,29.30188087066788,71.05263157894737,65.78947368421053,63.1578947368421,52.63157894736842,44.73684210526316
FT Aug Clus-Replica,8,2,505.68367346938777,434.5208333333333,425.53125,27.21861823279763,72.91666666666666,68.75,60.416666666666664,54.166666666666664,50.0
FT Aug Clus-Replica,9,1,340.1,280.2,340.1,41.34179428471108,85.71428571428571,77.14285714285715,74.28571428571429,74.28571428571429,68.57142857142857
FT Aug Clus-Replica,10,1,369.2875,359.60526315789474,376.5394736842105,36.64722565945666,81.57894736842105,76.31578947368422,73.68421052631578,65.78947368421053,63.1578947368421
