model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug Clus-Replica,0,2,315.1333333333333,226.1935483870968,314.1290322580645,48.91754450280052,89.96415770609319,84.58781362007169,79.56989247311827,72.40143369175627,63.620071684587806
FT Aug Clus-Replica,1,1,311.10218253968253,186.84791666666663,289.66979166666664,43.68806559437503,88.33333333333333,83.54166666666667,81.25,75.0,63.95833333333333
FT Aug Clus-Replica,2,1,277.04117647058825,135.0,264.3130081300813,51.88043313460435,91.869918699187,88.21138211382113,85.16260162601627,79.47154471544715,71.7479674796748
FT Aug Clus-Replica,3,2,234.99786324786325,75.87878787878788,232.96320346320343,65.75359193884502,96.53679653679652,93.5064935064935,90.69264069264068,87.01298701298701,82.03463203463204
FT Aug Clus-Replica,4,2,281.62048192771084,131.66666666666666,266.5246913580247,55.05130837424007,91.56378600823044,88.88888888888889,84.97942386831275,79.83539094650206,74.07407407407408
FT Aug Clus-Replica,5,2,281.95251937984494,148.07429718875505,269.20180722891564,49.499639594410446,90.56224899598394,86.74698795180723,82.1285140562249,77.51004016064257,69.87951807228916
FT Aug Clus-Replica,6,1,305.7510162601626,213.92708333333331,301.23645833333336,51.872200057168996,90.20833333333333,87.08333333333333,82.5,76.66666666666667,70.625
FT Aug Clus-Replica,7,2,257.67280701754385,124.75448028673836,255.32706093189964,57.456350237443324,93.5483870967742,91.21863799283155,88.35125448028674,85.30465949820788,77.59856630824373
FT Aug Clus-Replica,8,2,236.64147286821705,86.62248995983936,231.4859437751004,56.12537779482799,95.18072289156626,93.3734939759036,88.75502008032129,83.73493975903614,77.10843373493977
FT Aug Clus-Replica,9,1,323.35,193.84375,293.8020833333333,47.468764376071285,89.0625,85.41666666666666,81.25,75.34722222222221,68.22916666666666
FT Aug Clus-Replica,10,1,285.42280701754385,132.0358422939068,267.5824372759857,52.87656965648818,91.21863799283155,88.70967741935483,85.48387096774194,79.39068100358423,71.50537634408603
