model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug Clus-Replica,0,9,375.975,375.6842105263158,382.55263157894734,37.95677364195436,81.57894736842105,78.94736842105263,78.94736842105263,76.31578947368422,63.1578947368421
FT No-Aug Clus-Replica,1,7,457.9019607843137,515.8039215686274,457.9019607843137,29.75211755917729,76.47058823529412,72.54901960784314,70.58823529411765,68.62745098039215,58.82352941176471
FT No-Aug Clus-Replica,2,5,446.36,500.0816326530612,452.734693877551,24.468865873927157,77.55102040816327,71.42857142857143,61.224489795918366,48.97959183673469,40.81632653061224
FT No-Aug Clus-Replica,3,10,519.5877192982456,449.2037037037037,436.787037037037,27.85204043453274,79.62962962962963,64.81481481481481,55.55555555555556,53.70370370370371,50.0
FT No-Aug Clus-Replica,4,7,408.5480769230769,435.82,415.13,30.94289787272297,78.0,72.0,68.0,60.0,50.0
FT No-Aug Clus-Replica,5,7,294.234693877551,197.3125,293.7395833333333,41.834564677055816,85.41666666666666,81.25,77.08333333333334,72.91666666666666,60.416666666666664
FT No-Aug Clus-Replica,6,9,596.7264150943396,577.5098039215686,488.9117647058824,32.19512643736896,70.58823529411765,66.66666666666666,62.745098039215684,50.98039215686274,43.13725490196078
FT No-Aug Clus-Replica,7,9,679.7,720.7368421052631,560.8947368421053,37.35172903505789,71.05263157894737,65.78947368421053,65.78947368421053,57.89473684210527,52.63157894736842
FT No-Aug Clus-Replica,8,5,580.6020408163265,503.8958333333333,460.21875,30.65801177163121,79.16666666666666,66.66666666666666,62.5,60.416666666666664,54.166666666666664
FT No-Aug Clus-Replica,9,7,343.35714285714283,286.7142857142857,343.35714285714283,40.20419001719206,82.85714285714286,77.14285714285715,71.42857142857143,65.71428571428571,65.71428571428571
FT No-Aug Clus-Replica,10,7,366.725,359.42105263157896,371.2631578947368,38.92441813741182,81.57894736842105,73.68421052631578,68.42105263157895,63.1578947368421,57.89473684210527
