model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug Clus-Replica,0,9,223.2421052631579,38.55913978494624,219.32258064516128,76.78724349930846,96.7741935483871,94.6236559139785,93.5483870967742,91.3978494623656,88.17204301075269
FT No-Aug Clus-Replica,1,7,220.70238095238096,29.225,205.0375,72.33796720762761,96.25,93.75,92.5,91.25,85.0
FT No-Aug Clus-Replica,2,5,253.95294117647057,39.31707317073171,214.85365853658536,71.57098813792078,97.5609756097561,93.90243902439023,92.6829268292683,86.58536585365853,85.36585365853658
FT No-Aug Clus-Replica,3,10,207.22435897435895,19.805194805194805,204.73376623376623,85.96587257835382,98.7012987012987,97.40259740259741,97.40259740259741,96.1038961038961,94.8051948051948
FT No-Aug Clus-Replica,4,7,230.8373493975904,49.14814814814815,224.5987654320988,74.25793482792812,96.29629629629628,93.82716049382715,93.82716049382715,88.88888888888889,83.9506172839506
FT No-Aug Clus-Replica,5,7,248.093023255814,76.21686746987952,233.3373493975904,68.5582549620676,93.97590361445785,93.97590361445785,92.7710843373494,87.95180722891565,81.92771084337349
FT No-Aug Clus-Replica,6,9,202.859756097561,15.1625,198.28125,77.57554786647893,98.75,98.75,97.5,95.0,90.0
FT No-Aug Clus-Replica,7,9,212.35263157894735,33.774193548387096,208.3494623655914,80.79690400149909,96.7741935483871,96.7741935483871,96.7741935483871,96.7741935483871,94.6236559139785
FT No-Aug Clus-Replica,8,5,212.57558139534885,39.93975903614458,206.09036144578317,63.26841918295606,95.18072289156626,95.18072289156626,91.56626506024097,87.95180722891565,80.72289156626506
FT No-Aug Clus-Replica,9,7,233.255,45.38541666666666,214.58854166666663,69.01906158354576,96.875,94.79166666666666,91.66666666666666,89.58333333333334,87.5
FT No-Aug Clus-Replica,10,7,231.9842105263158,55.236559139784944,227.7258064516129,73.25857728506288,96.7741935483871,94.6236559139785,93.5483870967742,90.32258064516128,84.94623655913979
