model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug Mini-Replica,0,2,364.8625,367.7631578947368,363.1973684210527,52.017985164706424,86.8421052631579,86.8421052631579,81.57894736842105,78.94736842105263,68.42105263157895
FT Aug Mini-Replica,1,1,373.921568627451,347.84313725490193,373.921568627451,34.259523641466814,88.23529411764706,80.3921568627451,70.58823529411765,62.745098039215684,50.98039215686274
FT Aug Mini-Replica,2,2,360.73,335.6530612244898,360.1938775510204,32.43699883540136,87.75510204081633,73.46938775510205,67.3469387755102,59.183673469387756,51.02040816326531
FT Aug Mini-Replica,3,3,439.5175438596491,239.64814814814812,314.8611111111111,28.48576242414872,87.03703703703704,85.18518518518519,79.62962962962963,62.96296296296296,50.0
FT Aug Mini-Replica,4,3,307.5,237.16,304.18,28.408500485379367,88.0,82.0,74.0,66.0,50.0
FT Aug Mini-Replica,5,3,224.4081632653061,57.875,220.89583333333331,44.84906862371581,95.83333333333334,93.75,85.41666666666666,79.16666666666666,60.416666666666664
FT Aug Mini-Replica,6,2,405.4811320754717,325.4313725490196,362.55882352941177,24.261106199256798,76.47058823529412,68.62745098039215,56.86274509803921,52.94117647058824,47.05882352941176
FT Aug Mini-Replica,7,1,534.825,390.2631578947368,394.6578947368421,32.02631263986496,81.57894736842105,73.68421052631578,65.78947368421053,55.26315789473685,52.63157894736842
FT Aug Mini-Replica,8,2,448.1734693877551,270.2291666666667,343.1770833333333,26.52207499776509,87.5,83.33333333333334,79.16666666666666,66.66666666666666,54.166666666666664
FT Aug Mini-Replica,9,3,249.94285714285715,99.88571428571429,249.94285714285715,47.95375305050802,94.28571428571428,80.0,71.42857142857143,65.71428571428571,60.0
FT Aug Mini-Replica,10,2,340.9125,312.5,339.32894736842104,43.43882749264317,86.8421052631579,76.31578947368422,76.31578947368422,63.1578947368421,55.26315789473685
