model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT Aug Mini-Replica,0,2,205.57894736842104,14.164874551971328,203.7544802867384,73.84370934085895,99.10394265232976,98.02867383512543,97.13261648745521,94.08602150537637,90.32258064516128
FT Aug Mini-Replica,1,1,273.32142857142856,117.17083333333332,254.45416666666668,48.78615930600515,94.16666666666667,90.41666666666669,83.33333333333334,78.125,69.375
FT Aug Mini-Replica,2,2,202.6264705882353,12.567073170731708,197.84857723577235,77.52082233833372,98.78048780487804,98.3739837398374,97.5609756097561,95.32520325203252,93.08943089430895
FT Aug Mini-Replica,3,3,198.4967948717949,1.9978354978354975,195.90584415584416,87.9337005334812,100.0,100.0,99.56709956709956,99.13419913419912,97.1861471861472
FT Aug Mini-Replica,4,3,203.8714859437751,3.1481481481481484,199.46913580246917,85.2856246319497,99.17695473251028,98.559670781893,97.94238683127571,97.32510288065845,96.50205761316872
FT Aug Mini-Replica,5,3,197.95058139534885,4.769076305220883,192.75602409638557,86.68905419324344,99.59839357429718,98.59437751004016,98.19277108433737,97.38955823293172,96.18473895582328
FT Aug Mini-Replica,6,2,226.6382113821138,63.5125,222.53541666666663,71.16425890976076,97.70833333333331,96.875,93.125,90.20833333333333,86.04166666666667
FT Aug Mini-Replica,7,1,216.7921052631579,38.25985663082437,213.38440860215053,62.51077166926078,98.38709677419357,94.6236559139785,90.14336917562724,86.02150537634408,79.21146953405018
FT Aug Mini-Replica,8,2,199.13372093023256,11.570281124497992,192.37550200803213,80.35340154259485,99.19678714859438,98.79518072289156,98.59437751004016,98.19277108433737,95.78313253012048
FT Aug Mini-Replica,9,3,197.09833333333333,8.083333333333334,189.80381944444449,82.73766663638014,99.30555555555556,99.13194444444444,98.4375,96.52777777777779,94.09722222222221
FT Aug Mini-Replica,10,2,213.97368421052636,21.02867383512545,209.03763440860212,75.30651074749163,98.74551971326164,97.31182795698923,95.51971326164875,93.1899641577061,91.0394265232975
