model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug Mini-Replica,0,6,369.65,376.42105263157896,368.6842105263158,46.74603492601216,84.21052631578947,84.21052631578947,78.94736842105263,68.42105263157895,65.78947368421053
FT No-Aug Mini-Replica,1,8,354.8627450980392,309.72549019607845,354.8627450980392,32.20074253993494,88.23529411764706,74.50980392156863,72.54901960784314,64.70588235294117,54.90196078431373
FT No-Aug Mini-Replica,2,9,375.22,365.3877551020408,374.7959183673469,25.89291723348654,83.6734693877551,77.55102040816327,61.224489795918366,57.14285714285714,46.93877551020408
FT No-Aug Mini-Replica,3,5,452.05263157894734,388.8518518518519,397.9074074074074,25.04271094961739,81.48148148148148,75.92592592592592,70.37037037037037,64.81481481481481,48.14814814814814
FT No-Aug Mini-Replica,4,9,382.47115384615387,392.94,382.79,28.488174290199858,88.0,76.0,62.0,56.00000000000001,44.0
FT No-Aug Mini-Replica,5,9,232.07142857142856,71.5625,229.34375,39.320720350365775,93.75,91.66666666666666,85.41666666666666,77.08333333333334,66.66666666666666
FT No-Aug Mini-Replica,6,9,380.6415094339623,197.2549019607843,298.4313725490196,25.74548588645518,88.23529411764706,76.47058823529412,68.62745098039215,58.82352941176471,45.09803921568627
FT No-Aug Mini-Replica,7,6,612.4375,621.0263157894736,510.328947368421,37.590126800087944,81.57894736842105,68.42105263157895,60.526315789473685,57.89473684210527,52.63157894736842
FT No-Aug Mini-Replica,8,9,510.7959183673469,379.2083333333333,396.8958333333333,26.631659234274867,85.41666666666666,81.25,66.66666666666666,60.416666666666664,54.166666666666664
FT No-Aug Mini-Replica,9,4,240.82857142857145,81.65714285714286,240.82857142857145,45.2494837761501,91.42857142857143,85.71428571428571,82.85714285714286,62.857142857142854,60.0
FT No-Aug Mini-Replica,10,7,423.9625,491.5,425.6973684210527,45.70420540491117,86.8421052631579,81.57894736842105,73.68421052631578,68.42105263157895,63.1578947368421
