model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug Mini-Replica,0,6,216.91052631578947,14.440860215053764,207.28494623655916,74.56273529960417,97.84946236559139,95.6989247311828,95.6989247311828,93.5483870967742,91.3978494623656
FT No-Aug Mini-Replica,1,8,225.89880952380952,11.8125,196.00625,81.9405674633235,97.5,97.5,95.0,93.75,93.75
FT No-Aug Mini-Replica,2,9,202.3058823529412,7.146341463414634,198.7317073170732,83.9028512801584,97.5609756097561,97.5609756097561,96.34146341463415,96.34146341463415,95.1219512195122
FT No-Aug Mini-Replica,3,5,213.8397435897436,33.20779220779221,211.43506493506493,72.95392296495412,97.40259740259741,97.40259740259741,96.1038961038961,88.31168831168831,88.31168831168831
FT No-Aug Mini-Replica,4,9,213.39156626506025,3.7901234567901234,201.91975308641972,83.79384055387548,98.76543209876544,98.76543209876544,97.53086419753086,96.29629629629628,95.06172839506172
FT No-Aug Mini-Replica,5,9,202.04651162790697,12.36144578313253,198.06024096385545,83.59280647673508,98.79518072289156,96.3855421686747,95.18072289156626,93.97590361445785,92.7710843373494
FT No-Aug Mini-Replica,6,9,204.1341463414634,18.375,199.275,85.49752920907979,98.75,98.75,98.75,95.0,93.75
FT No-Aug Mini-Replica,7,6,199.09473684210528,6.559139784946237,194.86021505376343,79.6448740598355,100.0,100.0,97.84946236559139,95.6989247311828,92.47311827956987
FT No-Aug Mini-Replica,8,9,195.56976744186048,5.180722891566265,188.2289156626506,90.05242561153706,100.0,98.79518072289156,98.79518072289156,98.79518072289156,98.79518072289156
FT No-Aug Mini-Replica,9,4,263.67,99.625,242.0,65.42005320347964,91.66666666666666,89.58333333333334,87.5,86.45833333333334,81.25
FT No-Aug Mini-Replica,10,7,218.91052631578947,4.741935483870968,202.45698924731184,84.23588826010871,98.9247311827957,97.84946236559139,97.84946236559139,97.84946236559139,92.47311827956987
