model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug,0,10,374.15,376.1578947368421,378.2105263157895,31.564663307761492,81.57894736842105,73.68421052631578,65.78947368421053,60.526315789473685,55.26315789473685
FT No-Aug,1,10,307.01960784313724,214.0392156862745,307.01960784313724,28.5663992799849,82.35294117647058,76.47058823529412,68.62745098039215,52.94117647058824,45.09803921568627
FT No-Aug,2,10,366.44,342.3265306122449,367.8571428571428,22.76687611925139,73.46938775510205,63.26530612244898,53.06122448979592,44.89795918367347,32.65306122448979
FT No-Aug,3,10,461.92105263157896,317.35185185185185,363.0092592592592,24.48382655302695,77.77777777777779,72.22222222222221,64.81481481481481,51.85185185185185,44.44444444444444
FT No-Aug,4,15,364.09615384615387,351.4,365.24,24.59291865852241,88.0,76.0,64.0,50.0,42.0
FT No-Aug,5,10,258.94897959183675,119.77083333333331,260.3229166666667,22.56722454147144,93.75,79.16666666666666,72.91666666666666,62.5,47.91666666666667
FT No-Aug,6,10,380.7641509433962,340.3333333333333,369.8725490196079,22.87452126305996,68.62745098039215,62.745098039215684,56.86274509803921,49.019607843137244,41.17647058823529
FT No-Aug,7,12,539.925,352.5263157894737,376.55263157894734,31.91261014993672,76.31578947368422,71.05263157894737,57.89473684210527,52.63157894736842,50.0
FT No-Aug,8,14,459.6428571428572,316.0208333333333,366.34375,31.32705251541238,81.25,72.91666666666666,66.66666666666666,54.166666666666664,43.75
FT No-Aug,9,11,268.3,136.6,268.3,43.732849906162606,88.57142857142857,82.85714285714286,80.0,71.42857142857143,60.0
FT No-Aug,10,10,438.3125,476.2368421052632,437.9868421052632,33.696281742941366,76.31578947368422,71.05263157894737,63.1578947368421,60.526315789473685,55.26315789473685
