model,data_split_version,best_epoch,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
FT No-Aug,0,10,210.27894736842103,19.86021505376344,209.9516129032258,79.93532184060473,97.84946236559139,96.7741935483871,94.6236559139785,92.47311827956987,90.32258064516128
FT No-Aug,1,10,208.75,10.15,195.175,79.09910819424472,98.75,96.25,96.25,95.0,88.75
FT No-Aug,2,10,204.75882352941176,6.890243902439025,198.6158536585366,82.37585865277975,98.78048780487804,97.5609756097561,97.5609756097561,93.90243902439023,90.24390243902441
FT No-Aug,3,10,198.8205128205128,2.779220779220779,196.2207792207792,85.69889134330128,100.0,100.0,100.0,98.7012987012987,96.1038961038961
FT No-Aug,4,15,199.1867469879518,2.851851851851852,196.90740740740745,79.63737123264471,100.0,98.76543209876544,98.76543209876544,97.53086419753086,95.06172839506172
FT No-Aug,5,10,214.5872093023256,17.481927710843372,203.96987951807228,75.44654837312434,97.59036144578313,96.3855421686747,96.3855421686747,92.7710843373494,87.95180722891565
FT No-Aug,6,10,199.16463414634143,8.1625,194.20625,82.40056325173164,100.0,98.75,97.5,95.0,90.0
FT No-Aug,7,12,198.83157894736843,5.78494623655914,194.65591397849465,82.95080694772675,100.0,98.9247311827957,98.9247311827957,96.7741935483871,94.6236559139785
FT No-Aug,8,14,195.44767441860463,4.951807228915663,188.09036144578317,83.22072157611345,100.0,100.0,98.79518072289156,95.18072289156626,92.7710843373494
FT No-Aug,9,11,197.985,3.84375,193.859375,77.34985074908643,100.0,98.95833333333334,98.95833333333334,96.875,93.75
FT No-Aug,10,10,205.8736842105263,4.602150537634409,202.32258064516128,82.85373665478143,98.9247311827957,98.9247311827957,97.84946236559139,94.6236559139785,93.5483870967742
